number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
39,0.6093773030899736,2026-04-14 14:06:20.830640,2026-04-14 14:06:20.908953,0 days 00:00:00.078313,0.5322132623693622,0.7405610274227656,0.3433245924847156,7.401371049739219,0.0009793511522463154,336,5,241,8.438195431519073,502,0.0020972399962821517,0.165691933161775,2.044514670134707,0.6648287337008479,PRUNED
40,0.6141271451283067,2026-04-14 14:06:20.909309,2026-04-14 14:06:20.985420,0 days 00:00:00.076111,0.9385230855042868,0.8711251839952469,0.4001025717770934,6.4320748551758316,0.04306844129920691,309,4,138,20.441205678025447,1214,0.00025089839729686733,9.184981572098816e-05,3.7540008862122116,0.8434770731990434,PRUNED
41,0.6291137075101162,2026-04-14 14:06:20.985769,2026-04-14 14:06:21.116810,0 days 00:00:00.131041,0.7743635221928161,0.9758870540469881,0.770898462160996,5.549248142283678,0.07631540336018647,235,6,255,23.455746746930156,897,0.04949343390004992,1.572379970850411e-05,2.822745213367245,0.7072881619379006,PRUNED
42,0.6184203373550957,2026-04-14 14:06:21.117168,2026-04-14 14:06:21.196959,0 days 00:00:00.079791,0.7073372458250929,0.9983922178555964,0.7377985111318615,5.029834841909397,0.06067808272654368,384,6,255,23.467432806058877,1004,15.230764486535334,8.544140626611325e-06,2.806018103296526,0.6249306967943979,PRUNED
43,0.6287648300852068,2026-04-14 14:06:21.197292,2026-04-14 14:06:21.308020,0 days 00:00:00.110728,0.8081065609774878,0.9057149075730838,0.7143158018237705,5.874882816344133,0.0658280867347544,267,5,214,26.393542265502425,1375,0.25490607203411764,1.12016907921151e-06,3.167548027761029,0.6870467728407526,PRUNED
44,0.6314705468459683,2026-04-14 14:06:21.308377,2026-04-14 14:06:21.507328,0 days 00:00:00.198951,0.8746064987848825,0.9492980826280091,0.5730657415511636,3.8453784341678334,0.03438319357301894,158,6,243,15.238556832916558,1123,4.4016055178658283e-07,0.0010253426273132541,2.3863744332963246,0.648570348313673,PRUNED
45,0.6415772587386118,2026-04-14 14:06:21.507681,2026-04-14 14:06:22.818813,0 days 00:00:01.311132,0.6294489595430767,0.7530576940460507,0.6453101512698046,2.509514324886696,0.04920917574772489,435,7,228,21.77124351321866,770,0.0005147273443252732,2.379264239457618e-07,3.008366091145888,0.9993437354824602,PRUNED
46,0.3248029876857651,2026-04-14 14:06:22.819173,2026-04-14 14:06:25.558251,0 days 00:00:02.739078,0.7356944960486963,0.6426173713516564,0.8329709603755617,7.06694950557894,0.07481562081353019,201,5,187,17.15579526540106,1935,0.0777719417982142,7.331297060559703e-05,2.702006903527672,0.5756113122789198,COMPLETE
47,0.6195195472169678,2026-04-14 14:06:25.558610,2026-04-14 14:06:25.627806,0 days 00:00:00.069196,0.7277129386827161,0.6509797681209525,0.9525350637577944,7.120602521198256,0.0031230925926392958,193,4,187,17.19636832680184,1929,0.010566551352081692,0.006436136312368146,1.8870283934333725,0.533288732566333,PRUNED
48,0.6249403469814909,2026-04-14 14:06:25.628192,2026-04-14 14:06:25.711942,0 days 00:00:00.083750,0.839922085784903,0.6055785370055957,0.8330229836989462,8.017058320229298,0.02886947393998546,210,5,169,11.076573275482486,1795,0.0731005937784009,7.287863419920386e-05,2.628325563550751,0.5717442905243432,PRUNED
