MAX_DPD_30D,NUM_PAID_20PER_DAYS_1_TO_7_D,TILLDATE_MAX_DPD,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_1_TO_7_D,NUM_PAID_20PER_DAYS_8_TO_15_D,MAX_BOD_DPD_1_TO_7_D,COLLECTED_AMOUNT_EOD,MAX_DPD_W1,DAYS_DPD_1_2_W1,MAX_BOD_DPD_16_TO_30_D,NUM_PAID_20PER_DAYS_16_TO_30_D,NUM_NO_CALL_ALLOCATED_LOANS_1_TO_7_D,MAX_DPD_W2,EMI_PER_MAX_DPD_30D,AVG_DPD_30D,MAX_BOD_DPD_8_TO_15_D,DAYS_DPD_3_5_W1,AVG_BOD_DPD_1_TO_7_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_16_TO_30_D,MAX_ACTUAL_DPD_16_TO_30_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_8_TO_15_D,RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_8_TO_15_D,DAYS_DPD_1_2_W2,AVG_DPD_W2,TOTAL_DAYS_LATE_30D,AVG_DPD_W1,MAX_DPD_W4,AVG_BOD_DPD_16_TO_30_D,PCT_DAYS_LATE_30D,RATIO__AVG_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,DAYS_DPD_1_2_W4,NO_OF_MODES_OF_REPAYMENTS_USED,DAYS_DPD_3_5_W2,RATIO__AVG_BOD_DPD_1_TO_7_D_vs_8_TO_15_D,AVG_ACTUAL_DPD_1_TO_7_D,RATIO__MAX_ACTUAL_DPD_1_TO_7_D_vs_16_TO_30_D,COLLECTED_AMOUNT_CUMULATIVE,MAX_ACTUAL_DPD_8_TO_15_D,AVG_ACTUAL_DPD_16_TO_30_D,NO_OF_DAYS_SINCE_FIRST_EDI,RATIO__AVG_ACTUAL_DPD_8_TO_15_D_vs_16_TO_30_D,MIN_AVAILABLE_BALANCE_LAST_1_2_DAY,NUM_BOD_DPD_4_10_LOANS_1_TO_7_D,AVG_BOD_DPD_8_TO_15_D,NUM_NO_CALL_ALLOCATED_LOANS_8_TO_15_D,RATIO__NUM_HIGH_RISK_LOANS_8_TO_15_D_vs_16_TO_30_D,NUM_TOTAL_SMS_LAST_7_8_DAY,RATIO__AVG_BOD_DPD_1_TO_7_D_vs_16_TO_30_D,NUM_HIGH_RISK_LOANS_16_TO_30_D
-0.21244335,-0.0024678046,-0.24256033,-0.072746314,0.0025157924,-0.025695719,-0.01424492,-0.042919543,-0.068860926,-0.013295143,-0.02373479,-0.041948542,0.013682797,-0.014135087,0.03981774,0.023407234,-0.01947843,-0.0018162202,0.0017568028,-0.004883088,-0.03351008,0.06643787,0.009797406,-0.08069426,0.017881788,-0.14797725,-0.004397767,-0.019893896,-0.019104535,-0.15797497,-0.04175251,-0.023040408,0.0057614585,-0.023705197,-0.031254686,-0.0015957633,0.034614976,-0.038906448,0.013706381,0.013771283,0.038378514,0.00089950615,0.04503164,-0.0016538955,-0.009602029,-0.021683969,0.054452825,-0.018701654,-0.008120892,0.06130894
0.22115868,-0.007706503,0.31837368,-0.038259614,0.032424565,-0.056517456,0.007867551,-0.07757974,-0.03029153,0.09909748,0.042603303,-0.049415693,-0.082113616,-0.00062870194,-0.044996835,-0.06723206,-0.01336022,-0.023379225,-0.021812793,0.041722145,-0.024391355,-0.011163119,-0.00984199,-0.02706694,-0.07619721,-0.025641607,-0.033486705,-0.012997888,-0.0086454535,-0.021088596,-0.0047068335,0.040627323,0.01711389,-0.019522207,-0.0059512677,-0.012239048,0.010989286,0.036816955,-0.007941788,-0.0015839608,-0.009186348,0.0140180355,-0.010029053,-0.0060804007,-0.0069033233,-0.03273556,0.045729868,-1.1516446e-05,-0.02382143,0.016881237
0.24634774,-0.0006747792,0.39835754,-0.05365694,0.042846866,-0.047039565,0.0065539777,-0.070390135,-0.027401086,0.0870331,0.014647748,-0.043858573,-0.026675753,-0.019393438,0.016727336,0.031325217,-0.008086719,-0.012369309,0.024772516,0.04881383,-0.036546823,0.018174665,0.0077008526,0.010276388,-0.026684506,-0.06766488,-0.02072706,0.035453275,0.031621464,-0.06003199,-0.01804311,-0.065567814,0.015141807,-0.010841613,-0.028199002,-0.015501291,0.0138778,0.009542117,0.0075660157,0.04458702,-0.07423448,-0.035088707,0.011184476,-0.0070500714,-0.008783354,-0.026787894,0.019242581,-0.011173024,-0.010812912,0.016152848
-0.16909444,-0.0066211554,-0.25343907,-0.08265249,-0.08697837,-0.01885361,0.01697455,-0.03401295,0.05613502,-0.045329615,-0.073837064,-0.07923022,-0.037278537,-0.000325814,-0.08519162,-0.010785156,-0.013406474,-0.008075337,-0.05309374,-0.036347896,-0.02034565,0.058548663,-0.0038540717,0.039459765,-0.04804094,0.15923345,-0.010053416,0.036019098,0.043835033,0.14966655,0.00072583137,0.0331355,0.020120483,-0.01176582,-0.00051024556,-0.0065717427,-0.013911766,-0.068799965,-0.022548353,0.03259404,0.01607268,0.0044410722,-0.0019866761,1.562774e-05,0.037410002,-0.043595575,-0.028771875,0.03234911,0.0020037284,-0.038380846
0.1962186,0.04845854,0.13766605,-0.017717836,0.00088413595,0.063078254,0.017100787,0.04836593,-0.06669562,0.054460187,0.000786962,-0.051764343,0.05621288,-0.02796877,0.07203599,0.042076755,0.0026980743,-0.0017018281,-0.0006546197,0.04050543,0.0068838373,0.000772679,0.015355051,0.011222035,0.028667133,-0.03723519,0.0070546726,-0.010993691,0.01592274,-0.03646442,-0.021118734,0.034820918,0.029391138,0.05878022,0.038687702,0.014105619,0.008309173,0.013891696,0.015275241,0.015829757,-0.014983985,-0.01379599,0.030515784,-0.00516834,-0.00064457627,-0.0328901,0.032244336,9.158683e-05,-0.011717503,-0.0012016589
0.32600525,-0.22593875,0.38932127,0.013416293,0.18059799,0.09280356,0.04383699,0.020262167,0.036409356,0.12225498,0.096483685,-0.046583463,0.07902085,-0.015505036,0.10757744,0.01527993,-0.031062892,-0.09292438,0.017792549,0.10106197,-0.001748926,-0.012806453,-0.1006893,0.03154783,-0.026934836,-0.15020697,-0.00716012,-0.058256038,0.026868189,-0.17317219,0.086522564,-0.001836533,0.06059544,-0.014623114,-0.04585339,0.038743254,0.0058645243,0.05159171,0.09272081,0.043512378,-0.004572799,0.10517949,0.013636679,0.007661592,-0.01298216,-0.03170197,0.1701731,-0.028368764,0.017989418,0.005379543
0.061664324,0.22084193,-0.07290503,0.023274563,0.057778135,0.0946123,0.013632965,0.069318034,-0.06750487,0.009101955,0.11714388,-0.04977816,-0.04372657,0.06770704,0.073979795,-0.067935236,-0.004232538,-0.023396727,0.043229215,-0.010409026,0.03123973,0.03334115,0.024902517,0.031311397,-0.055652924,0.09836924,0.007437587,0.005876986,-0.017517628,-0.08548705,-0.015364351,0.012785739,0.016258154,-0.029552732,0.06543859,0.017473187,-0.045335572,0.09657556,-0.019746333,0.073069565,0.07253565,-0.0473227,0.02158411,0.005716554,-0.041405138,-0.037563138,-0.02881688,-0.0014544182,0.04158988,-0.037317567
-0.40952992,-0.06489927,-0.31834188,-0.25889096,-0.062702455,-0.11107467,-0.23549858,-0.2082253,-0.013518311,-0.07645914,-0.032617863,-0.07683832,-0.04293998,-0.18028574,-0.049791973,-0.060645193,-0.012829568,0.004538421,0.03241979,-0.06498161,-0.252434,-0.08759603,-0.07441634,-0.053260643,-0.02873976,-0.11647174,-0.028117836,-0.039159734,-0.032394648,-0.036954083,-0.042187702,-0.006463428,-0.04870519,-0.0246429,-0.08731324,0.005488382,-0.0459668,-0.06117298,-0.031978942,-0.051156335,-0.002161784,-0.050661795,0.04672451,-0.00080889714,-0.025038585,-0.04617966,-0.12291976,0.042588122,-0.049411017,-0.06383565
0.020138687,-0.017333739,-0.07825573,0.09946204,-0.059044756,-0.09275271,0.02672805,-0.121214636,0.040098205,0.0806183,-0.005154781,-0.046947297,-0.06257162,-0.027733939,-0.09047671,-0.027709773,-0.013269709,-0.008511209,-0.009360334,0.04083197,0.042082686,-0.021381758,-0.0047243126,0.044579666,-0.03511921,0.07488986,-0.009355034,0.032525055,-0.027129801,0.06007461,0.0013126025,0.008284155,0.017803377,-0.012208661,-0.015174389,-0.008250507,-0.036325086,-0.10500063,-0.028079212,-0.026170935,-0.034672022,-0.009978712,0.0365224,-0.0072010015,0.04991137,-0.03489787,-0.036571924,-0.0018945439,-0.049313556,0.05126696
0.22206967,0.2625527,0.27930605,0.04137969,0.043506186,0.100198455,0.0066276323,0.059837442,0.05783071,0.07320515,0.15113832,-0.03850577,0.055344243,-0.020904223,0.1588022,0.058046617,0.049610846,0.0093928985,0.0228183,0.039246835,0.0350384,0.020363754,0.013151354,0.005434618,-0.0057262317,-0.059599254,0.011657115,0.0030157657,0.00018321595,-0.10942932,-0.05808721,0.030772755,0.029875249,0.05275947,-0.028451402,0.009404254,0.013898263,-0.01645038,0.02335632,0.075988926,-0.03400962,-0.05595439,-0.22066337,-0.0071005044,-0.006105733,-0.021199314,0.049658824,-0.05579461,-0.028622683,0.20502175
